MEMBER_KEY,MEMBER_NAME_x,YEAR,YEARLY_SPEND,TARGET_SPEND,MEMBER_NAME_y,BUSINESS_TYPE,POSTCODE_AREA,SECTOR_1,SECTOR_2,SIC_CODES,TRADE_COUNTER,WEB_PRESENCE
0fe729f4e6783af65a85ac4328f5955e,Kayfast Limited,2021,42011.51,,Kayfast Limited,Member,WF,Fixings & Fasteners Specialist,Construction Supplies,47910,True,True
0fe729f4e6783af65a85ac4328f5955e,Kayfast Limited,2022,9434.67,8000.0,Kayfast Limited,Member,WF,Fixings & Fasteners Specialist,Construction Supplies,47910,True,True
0fe729f4e6783af65a85ac4328f5955e,Kayfast Limited,2023,25379.9,8289.0,Kayfast Limited,Member,WF,Fixings & Fasteners Specialist,Construction Supplies,47910,True,True
0fe729f4e6783af65a85ac4328f5955e,Kayfast Limited,2024,1218.84,21697.0,Kayfast Limited,Member,WF,Fixings & Fasteners Specialist,Construction Supplies,47910,True,True
102943da5fe785f35c51e5deec30c09a,RSS Commercial,2023,563.98,,RSS Commercial,Member,MK,Wholesaler,,,False,True
10340a6bcfbefed1a2f720d025be3ebd,R&R Tools & Fixings Ltd,2016,14360.54,,R&R Tools & Fixings Ltd,Member,GL,,,,False,False
10340a6bcfbefed1a2f720d025be3ebd,R&R Tools & Fixings Ltd,2017,80126.48,,R&R Tools & Fixings Ltd,Member,GL,,,,False,False
10340a6bcfbefed1a2f720d025be3ebd,R&R Tools & Fixings Ltd,2018,3118.5199999999995,,R&R Tools & Fixings Ltd,Member,GL,,,,False,False
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2016,481904.0,,E Mcintyre & Sons,Member,BT,Traders Generalist,Power Tools Specialist,47190|46620,True,True
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2016,481904.0,,E McIntyre & Sons Ltd t/a Jefferson,Supplier,BT,Hand Tools,Power Tools Specialist,47190|46620,False,True
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2017,433394.39,,E Mcintyre & Sons,Member,BT,Traders Generalist,Power Tools Specialist,47190|46620,True,True
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2017,433394.39,,E McIntyre & Sons Ltd t/a Jefferson,Supplier,BT,Hand Tools,Power Tools Specialist,47190|46620,False,True
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2018,455546.01,,E Mcintyre & Sons,Member,BT,Traders Generalist,Power Tools Specialist,47190|46620,True,True
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2018,455546.01,,E McIntyre & Sons Ltd t/a Jefferson,Supplier,BT,Hand Tools,Power Tools Specialist,47190|46620,False,True
12e2140c9506729663b211d56e63f331,E Mcintyre & Sons,2020,111.96,,E Mcintyre & Sons,Member,BT,Traders Generalist,Power Tools Specialist,47190|46620,True,True
